54 -0.5 0.5 0.5 1.5 1.5 2.5 2.5 3.5 3.5 4.5 4.5 5.5 5.5 6.5 6.5 7.5 7.5 8.5 
-0.5 0.00552794 0.00552794 0.0528677 0.0528677 0.0538834 0.0538834 0.0426916 0.0426916 0.0282514 0.0282514 0.0441331 0.0441331 0.0577411 0.0577411 0.0565531 0.0565531 0.00594947 0.00594947
0.5 0.00552794 0.00552794 0.0528677 0.0528677 0.0538834 0.0538834 0.0426916 0.0426916 0.0282514 0.0282514 0.0441331 0.0441331 0.0577411 0.0577411 0.0565531 0.0565531 0.00594947 0.00594947
0.5 0.0533169 0.0533169 0.227494 0.227494 0.197333 0.197333 0.18069 0.18069 0.157878 0.157878 0.181114 0.181114 0.199153 0.199153 0.232081 0.232081 0.055325 0.055325
1.5 0.0533169 0.0533169 0.227494 0.227494 0.197333 0.197333 0.18069 0.18069 0.157878 0.157878 0.181114 0.181114 0.199153 0.199153 0.232081 0.232081 0.055325 0.055325
1.5 0.0510437 0.0510437 0.192865 0.192865 0.108358 0.108358 0.159703 0.159703 0.144725 0.144725 0.15931 0.15931 0.106378 0.106378 0.192646 0.192646 0.0524363 0.0524363
2.5 0.0510437 0.0510437 0.192865 0.192865 0.108358 0.108358 0.159703 0.159703 0.144725 0.144725 0.15931 0.15931 0.106378 0.106378 0.192646 0.192646 0.0524363 0.0524363
2.5 0.051083 0.051083 0.192144 0.192144 0.107327 0.107327 0.159317 0.159317 0.144867 0.144867 0.160068 0.160068 0.107525 0.107525 0.193517 0.193517 0.0524518 0.0524518
3.5 0.051083 0.051083 0.192144 0.192144 0.107327 0.107327 0.159317 0.159317 0.144867 0.144867 0.160068 0.160068 0.107525 0.107525 0.193517 0.193517 0.0524518 0.0524518
3.5 0.0537023 0.0537023 0.229352 0.229352 0.199401 0.199401 0.181651 0.181651 0.15776 0.15776 0.180133 0.180133 0.196732 0.196732 0.230194 0.230194 0.054949 0.054949
4.5 0.0537023 0.0537023 0.229352 0.229352 0.199401 0.199401 0.181651 0.181651 0.15776 0.15776 0.180133 0.180133 0.196732 0.196732 0.230194 0.230194 0.054949 0.054949
4.5 0.00558081 0.00558081 0.0549399 0.0549399 0.0568866 0.0568866 0.0442087 0.0442087 0.0283492 0.0283492 0.0428838 0.0428838 0.0548769 0.0548769 0.0547072 0.0547072 0.00594675 0.00594675
5.5 0.00558081 0.00558081 0.0549399 0.0549399 0.0568866 0.0568866 0.0442087 0.0442087 0.0283492 0.0283492 0.0428838 0.0428838 0.0548769 0.0548769 0.0547072 0.0547072 0.00594675 0.00594675

54 -0.5 0.5 0.5 1.5 1.5 2.5 2.5 3.5 3.5 4.5 4.5 5.5 5.5 6.5 6.5 7.5 7.5 8.5 
