48 -0.5 0.5 0.5 1.5 1.5 2.5 2.5 3.5 3.5 4.5 4.5 5.5 
-0.5 0.00555414 0.00555414 0.0460334 0.0460334 0.0478757 0.0478757 0.0478757 0.0478757 0.0460334 0.0460334 0.00555414 0.00555414
0.5 0.00555414 0.00555414 0.0460334 0.0460334 0.0478757 0.0478757 0.0478757 0.0478757 0.0460334 0.0460334 0.00555414 0.00555414
0.5 0.0490151 0.0490151 0.204635 0.204635 0.178361 0.178361 0.178361 0.178361 0.204635 0.204635 0.0490151 0.0490151
1.5 0.0490151 0.0490151 0.204635 0.204635 0.178361 0.178361 0.178361 0.178361 0.204635 0.204635 0.0490151 0.0490151
1.5 0.0539961 0.0539961 0.191797 0.191797 0.117582 0.117582 0.117582 0.117582 0.191797 0.191797 0.0539961 0.0539961
2.5 0.0539961 0.0539961 0.191797 0.191797 0.117582 0.117582 0.117582 0.117582 0.191797 0.191797 0.0539961 0.0539961
2.5 0.0443942 0.0443942 0.168339 0.168339 0.142418 0.142418 0.142418 0.142418 0.168339 0.168339 0.0443942 0.0443942
3.5 0.0443942 0.0443942 0.168339 0.168339 0.142418 0.142418 0.142418 0.142418 0.168339 0.168339 0.0443942 0.0443942
3.5 0.0443942 0.0443942 0.168339 0.168339 0.142418 0.142418 0.142418 0.142418 0.168339 0.168339 0.0443942 0.0443942
4.5 0.0443942 0.0443942 0.168339 0.168339 0.142418 0.142418 0.142418 0.142418 0.168339 0.168339 0.0443942 0.0443942
4.5 0.0539961 0.0539961 0.191797 0.191797 0.117582 0.117582 0.117582 0.117582 0.191797 0.191797 0.0539961 0.0539961
5.5 0.0539961 0.0539961 0.191797 0.191797 0.117582 0.117582 0.117582 0.117582 0.191797 0.191797 0.0539961 0.0539961
5.5 0.0490151 0.0490151 0.204635 0.204635 0.178361 0.178361 0.178361 0.178361 0.204635 0.204635 0.0490151 0.0490151
6.5 0.0490151 0.0490151 0.204635 0.204635 0.178361 0.178361 0.178361 0.178361 0.204635 0.204635 0.0490151 0.0490151
6.5 0.00555414 0.00555414 0.0460334 0.0460334 0.0478757 0.0478757 0.0478757 0.0478757 0.0460334 0.0460334 0.00555414 0.00555414
7.5 0.00555414 0.00555414 0.0460334 0.0460334 0.0478757 0.0478757 0.0478757 0.0478757 0.0460334 0.0460334 0.00555414 0.00555414
