48 -0.5 0.5 0.5 1.5 1.5 2.5 2.5 3.5 3.5 4.5 4.5 5.5 5.5 6.5 6.5 7.5 
-0.5 0.00457733 0.00457733 0.0208322 0.0208322 0.0288701 0.0288701 0.0301426 0.0301426 0.0301426 0.0301426 0.0288701 0.0288701 0.0208322 0.0208322 0.00457733 0.00457733
0.5 0.00457733 0.00457733 0.0208322 0.0208322 0.0288701 0.0288701 0.0301426 0.0301426 0.0301426 0.0301426 0.0288701 0.0288701 0.0208322 0.0208322 0.00457733 0.00457733
0.5 0.0213729 0.0213729 0.0895613 0.0895613 0.107145 0.107145 0.104271 0.104271 0.104271 0.104271 0.107145 0.107145 0.0895613 0.0895613 0.0213729 0.0213729
1.5 0.0213729 0.0213729 0.0895613 0.0895613 0.107145 0.107145 0.104271 0.104271 0.104271 0.104271 0.107145 0.107145 0.0895613 0.0895613 0.0213729 0.0213729
1.5 0.0325885 0.0325885 0.124204 0.124204 0.102696 0.102696 0.0837388 0.0837388 0.0837388 0.0837388 0.102696 0.102696 0.124204 0.124204 0.0325885 0.0325885
2.5 0.0325885 0.0325885 0.124204 0.124204 0.102696 0.102696 0.0837388 0.0837388 0.0837388 0.0837388 0.102696 0.102696 0.124204 0.124204 0.0325885 0.0325885
2.5 0.0325885 0.0325885 0.124204 0.124204 0.102696 0.102696 0.0837388 0.0837388 0.0837388 0.0837388 0.102696 0.102696 0.124204 0.124204 0.0325885 0.0325885
3.5 0.0325885 0.0325885 0.124204 0.124204 0.102696 0.102696 0.0837388 0.0837388 0.0837388 0.0837388 0.102696 0.102696 0.124204 0.124204 0.0325885 0.0325885
3.5 0.0213729 0.0213729 0.0895613 0.0895613 0.107145 0.107145 0.104271 0.104271 0.104271 0.104271 0.107145 0.107145 0.0895613 0.0895613 0.0213729 0.0213729
4.5 0.0213729 0.0213729 0.0895613 0.0895613 0.107145 0.107145 0.104271 0.104271 0.104271 0.104271 0.107145 0.107145 0.0895613 0.0895613 0.0213729 0.0213729
4.5 0.00457733 0.00457733 0.0208322 0.0208322 0.0288701 0.0288701 0.0301426 0.0301426 0.0301426 0.0301426 0.0288701 0.0288701 0.0208322 0.0208322 0.00457733 0.00457733
5.5 0.00457733 0.00457733 0.0208322 0.0208322 0.0288701 0.0288701 0.0301426 0.0301426 0.0301426 0.0301426 0.0288701 0.0288701 0.0208322 0.0208322 0.00457733 0.00457733
