2  -13.3802 -13.0872 8.95784     0.852793 54.8uu2
3  -13.3802 -13.2097 8.09306     2.311491 54.314182
4  -13.3802 -13.2808 5.6503      4.858538 54.314182
5  -13.3802 -13.3121 3.40713     10.110573 54.314182
6  -13.3802 -13.3297 2.94021    16.123092  54.314182
7  -13.3802 -13.3421 2.44615    22.067920 54.314182
8  -13.3802 -13.351  1.92892    44.534334 54.314182
10 -13.3802 -13.3603 1.58623   115.029661 54.314182
12 -13.3802 -13.3664 1.21595   201.218768 54.314182
14 -13.3802 -13.371  0.880328  348.848299 54.314182
16 -13.3802 -13.3737 0.656598  567.875558 54.314182
24 -13.3802 -13.3783 0.256768 1692.842126 54.314182
